title,artist,mappers,difficulties_amount,version
"Excuse My Rudeness, but Could You Please RIP?♡ (t+pazolite Remix)",Calliope Mori,DyamoDash,1,1
Blastix Riotz,Camellia as Bang Riot,GDWither,1,1
BANGER A.H. BROOOO!!!,"Camellia as ""Bang Riot""",Azurlexx,1,1
Chasing the Wing,Camellia ft. Camellia,KindClutch,1,1
Iro wo Ushinatta Macchi,Camellia ft. Camellia,gold_wolf,1,1
Looking for Edge of Ground,Camellia ft. Hatsune Miku,gold_wolf,1,1
"Lowermost Revolt (""Jeremiad"" Long ver.)",Camellia ft. Kagekiha Gakusei,ZitroNitro,1,1
Night Fog,Camellia ft. Luschel,Azurlexx,1,1
Bassdrop Freaks,Camellia ft. Nanahira,AddictedToping,1,1
"Good Food in the Microwave☆Electronic Processor Uses 4,000 Years of Chinese Culinary History to Instantly Reconcile the Cuisines of Northern Europe",Camellia ft. Nanahira,DyamoDash,1,1
Honey Trap,Camellia ft. Nanahira,andrew2005689,1,1
PAPAYAPA BASS (BASSE DE NANA long ver.),Camellia ft. Nanahira,ZitroNitro,1,1
Rainbow,Camellia ft. Nanahira,Username_NotRequired,1,1
Senpai Notice Me,Camellia ft. Nanahira,WaterBottle317,1,1
Super-Slow-Internet-san,Camellia ft. Nanahira,gold_wolf,1,1
When you say Hai this song is gonna be go insanely fast,Camellia ft. Nanahira,Azurlexx,1,1
ƒiиorzᾶ,Camellia ft. Nanahira,Azurlexx,1,1
Railgun Roulette,Camellia vs. Akira Complex,Crucru03 & Azurlexx,1,1
SUPER HYPER MIRACLE FANTASY PARADE,Camellia vs. DJ Genki,Azurlexx,1,1
Bangin Burst VS. Invitation F,Camellia vs C-Show,EA_Crazed,1,1
Alone Intelligence,Camellia,Azurlexx,1,1
An Artifice,Camellia,gold_wolf,1,1
Another Xronixle,Camellia,gold_wolf,1,1
Arche,Camellia,Avibah4uu2,1,1
Bangin' Burst,Camellia,DyamoDash,1,1
"Bangin' Burst (""Outburst"" Long ver.)",Camellia,OKZitro,1,1
Bassline Yatteru (ft. Nanahira),Camellia,Iamuss76,1,1
Be Wild ft. Yukacco,Camellia,aaddggjjll1234,1,1
Berserkerz Warfare 345,Camellia,nextro420,1,1
Beyond the Geostationary Orbit Level,Camellia,Azurlexx,1,1
Bloody Kiss,Camellia,ZitroNitro,1,1
Body F10ating in the Zero Gravity Space,Camellia,Azurlexx,1,1
Chirality,Camellia,Plxsma_RBLX,1,1
Crystallized,Camellia,HaxagonYT,1,1
Dance With Silence,Camellia,ZitroNitro,1,1
Diastrophism,Camellia,TotoPowah,1,1
Dyscontrolled Galaxy,Camellia,iMasterzzRBLX,1,1
Dyscontrolled Galaxy (Apoptosis long ver.),Camellia,OKZitro & gold_wolf,1,1
Embracing Intelligences,Camellia,Azurlexx,1,1
ENTRANS OF DA JUNGLE,Camellia,BasedSammy,1,1
EXiT this Earths Atomosphere,Camellia,mm1678YT,1,1
Exit This Earth's Atomosphere [PLANETARY REMIX],Camellia,BluPros,1,1
Fastest Crash,Camellia,ZitroNitro,1,1
Fastest Crash (Camellia's 'paroxysmal' Energetic Hitech Remix),Camellia,ZitroNitro,1,1
Feelin' Sky (Camellia's 200step Self-remix),Camellia,Plxsma_RBLX,1,1
First Town of This Journey,Camellia,M4eu,1,1
Galaxy Burst,Camellia,BasedSammy,1,1
GALAXY BURST (lapix remix),Camellia,ZitroNitro,1,1
I Can Fly in the Universe,Camellia,gold_wolf,1,1
Illegal Trap,Camellia,OKZitro,1,1
Insecticide,Camellia,WaterBottle317,1,1
K.Y.A.F.A.,Camellia,ZitroNitro,1,1
Killerbeast,Camellia,Waterbottle317,1,1
KillerToy,Camellia,ZitroNitro,1,1
Light It Up,Camellia,Plxsma_RBLX,1,1
Lunatic Rough Party,Camellia,Plxsma_RBLX,1,1
Lúin Øf CeltchaЯ,Camellia,Azurlexx,1,1
Mazare Party ft. kradness Nanahira and yukacco,Camellia,BasedNA,1,1
Mushi no Sumu Tokoro,Camellia,doofyplayer,1,1
Nacreous Snowmelt,Camellia,M4eu & Iamuss76 & BasedSammy & skippingbee & TotoPowah & Julienlemab & nextro420 & gold_wolf & IMasterzzRBLX & Naoriwa & reallyawesomestuff & Haxagon & X3Corsaka & ZitroNitro & Azurlexx,1,1
EDM Jumpers,Camellia & Nanahira,OKZitro,1,1
Nasty * Nasty * Spell,Camellia,Azurlexx,1,1
Night Raid With A Dragon,Camellia,ZitroNitro,1,1
NIGHTMARE CITY,Camellia,Azurlexx & aaddggjjll1234,1,1
No Heroes Are Allowed To Enter,Camellia,Azurlexx,1,1
NUCLEAR-STAR,Camellia,Plxsma_RBLX,1,1
OOPARTS,Camellia,ZitroNitro,1,1
PAPAYAPA BASS ft. Nanahira,Camellia,BasedSammy,1,1
paroxysm,Camellia,OKZitro,1,1
POLYBIUS GB SPEEDRUN (Glitchless 100% WR in 0:03:57),Camellia,Azurlexx,1,1
POWA OF DA WILDANES,Camellia,BasedSammy & ob1cb & CruCru03 & HaxagonYT & GDWither & gold_wolf & OKPlxsma & andrew2005689 & TotoPowah & BatBrice & M4eu & Dyamodash & nextro420 & julienlemab & ZitroNitro & iMasterzzRBLX & Azurlexx,1,1
Quaoar,Camellia,Azurlexx,1,1
Quicksand,Camellia,nextro420,1,1
Qyoh,Camellia,TotoPowah,1,1
R U Still XXXX?,Camellia,Azurlexx,1,1
Routing,Camellia,HaxagonYT,1,1
SCREW // owo // SCREW,Camellia,ZitroNitro,1,1
SECRET BOSS,Camellia,Azurlexx,1,1
Speed Star Kanade,Camellia,WaterBottle317,1,1
Speedrun,Camellia,WaterBottle317,1,1
Spin Eternally,Camellia,ZitroNitro & Azurlexx,1,1
